iteration,activation,optimizer,lr,weight_decay,batch_size,train_RMSE,test_RMSE,new_best
1,ReLU,Adam,0.0001,0.0,64,53373.20379021535,56821.44494280091,True
2,ReLU,Adam,0.0003,0.0,64,51067.63609730112,55688.88319943218,True
3,ReLU,Adam,0.001,0.0,64,48283.27105517615,55236.72751541537,True
4,ReLU,Adam,0.0001,0.0001,64,54104.84702805473,56559.94460061369,False
5,ReLU,Adam,0.0003,0.0001,64,52528.63051708087,55809.851003754025,False
6,ReLU,Adam,0.001,0.0001,64,53119.91359412953,55932.27309771659,False
7,ReLU,Adam,0.0001,0.0,128,54653.03552508493,56773.18406994626,False
8,ReLU,Adam,0.0003,0.0,128,52783.12626058358,56364.64485047342,False
9,ReLU,Adam,0.001,0.0,128,49679.07902185967,54923.47246123464,True
10,ReLU,Adam,0.0001,0.0001,128,55620.60163046165,58265.41208229802,False
11,ReLU,Adam,0.0003,0.0001,128,53535.12536246853,56738.89206390974,False
12,ReLU,Adam,0.001,0.0001,128,56089.08543928961,58664.06927583528,False
13,ReLU,SGD,0.01,0.0,64,56150.459891102415,59156.27812939594,False
14,ReLU,SGD,0.003,0.0,64,57475.59708967067,59890.56654278975,False
15,ReLU,SGD,0.001,0.0,64,61396.37222686263,63230.70092857083,False
16,ReLU,SGD,0.01,0.0001,64,54738.04234975147,56960.47532477665,False
17,ReLU,SGD,0.003,0.0001,64,57986.290998714605,60202.32286792494,False
18,ReLU,SGD,0.001,0.0001,64,60982.5821318598,62608.676360324345,False
19,ReLU,SGD,0.01,0.0,128,55314.26836873232,59157.83224696456,False
20,ReLU,SGD,0.003,0.0,128,59245.37726098518,62114.38313820721,False
21,ReLU,SGD,0.001,0.0,128,61612.66339437594,63603.32380748667,False
22,ReLU,SGD,0.01,0.0001,128,55970.92636945423,60222.890871827134,False
23,ReLU,SGD,0.003,0.0001,128,59530.63840600527,61903.04569954535,False
24,ReLU,SGD,0.001,0.0001,128,62618.40465007356,64834.41480201699,False
25,LeakyReLU(0.1),Adam,0.0001,0.0,64,54031.44508770321,57030.455187897416,False
26,LeakyReLU(0.1),Adam,0.0003,0.0,64,52591.97927474681,55808.95737336473,False
27,LeakyReLU(0.1),Adam,0.001,0.0,64,47995.37422843407,53968.44942545371,True
28,LeakyReLU(0.1),Adam,0.0001,0.0001,64,54371.34755068956,57101.36463861295,False
29,LeakyReLU(0.1),Adam,0.0003,0.0001,64,53179.03253054681,55839.41205467913,False
30,LeakyReLU(0.1),Adam,0.001,0.0001,64,53565.29699992586,56514.28386537625,False
31,LeakyReLU(0.1),Adam,0.0001,0.0,128,55365.188134815726,58040.09842582971,False
32,LeakyReLU(0.1),Adam,0.0003,0.0,128,52394.63295354099,57248.24898772014,False
33,LeakyReLU(0.1),Adam,0.001,0.0,128,49598.30199776951,56026.78988912358,False
34,LeakyReLU(0.1),Adam,0.0001,0.0001,128,56035.952676420005,58608.3545935219,False
35,LeakyReLU(0.1),Adam,0.0003,0.0001,128,53568.347341363406,56032.79108522081,False
36,LeakyReLU(0.1),Adam,0.001,0.0001,128,53146.890368327375,55284.09899708957,False
37,LeakyReLU(0.1),SGD,0.01,0.0,64,55323.67802770595,58039.6951735339,False
38,LeakyReLU(0.1),SGD,0.003,0.0,64,57425.6386020178,59622.47294709044,False
39,LeakyReLU(0.1),SGD,0.001,0.0,64,61372.5833251298,63415.759447362245,False
40,LeakyReLU(0.1),SGD,0.01,0.0001,64,54545.27338688071,57172.67053123782,False
41,LeakyReLU(0.1),SGD,0.003,0.0001,64,57247.136674386864,59582.49179353387,False
42,LeakyReLU(0.1),SGD,0.001,0.0001,64,61007.33997679499,63634.41194568761,False
43,LeakyReLU(0.1),SGD,0.01,0.0,128,56717.97886984026,58520.08668209575,False
44,LeakyReLU(0.1),SGD,0.003,0.0,128,59770.59318747222,62271.77718356848,False
45,LeakyReLU(0.1),SGD,0.001,0.0,128,62520.94254607457,64912.2146212868,False
46,LeakyReLU(0.1),SGD,0.01,0.0001,128,55463.02422462728,57417.80634193542,False
47,LeakyReLU(0.1),SGD,0.003,0.0001,128,59818.319426779686,61487.40346314845,False
48,LeakyReLU(0.1),SGD,0.001,0.0001,128,62060.317178966965,63346.40423828333,False
